entity_type,id,name,parent_id,grade,class_name,subject,phone,email,extra
教师,T018,韩杰,D06,,,数学,18566701065,韩杰@example.com,
教师,T019,朱志强,D06,,,物理,15872624731,朱志强@example.com,
学生,S0001,郝杰,C01,高一,高一(1)班,,13801326773,郝杰@example.com,家长: 潘强
学生,S0002,宋桂珍,C01,高一,高一(1)班,,13647468723,宋桂珍@example.com,家长: 曾玉兰
学生,S0003,黄强,C01,高一,高一(1)班,,17009788208,黄强@example.com,家长: 徐慧
学生,S0004,周磊,C11,高三,高三(1)班,,15619399091,周磊@example.com,家长: 戴海涛
学生,S0005,邓华,C01,高一,高一(1)班,,17346247510,邓华@example.com,家长: 任杰
学生,S0006,吴玉兰,C01,高一,高一(1)班,,19425135427,吴玉兰@example.com,家长: 陆桂兰
学生,S0007,江芳,C01,高一,高一(1)班,,19412411824,江芳@example.com,家长: 沈华
学生,S0008,黎桂香,C01,高一,高一(1)班,,15487401640,黎桂香@example.com,家长: 张志刚
学生,S0009,龚超,C01,高一,高一(1)班,,17278680112,龚超@example.com,家长: 陆敏
学生,S0010,薛霞,C01,高一,高一(1)班,,18204505331,薛霞@example.com,家长: 丁志强
学生,S0011,史平,C01,高一,高一(1)班,,15226025634,史平@example.com,家长: 梁倩
学生,S0012,叶敏,C01,高一,高一(1)班,,18337543303,叶敏@example.com,家长: 潘志刚
学生,S0013,傅磊,C01,高一,高一(1)班,,17586850142,傅磊@example.com,家长: 康丽华
学生,S0014,陈倩,C01,高一,高一(1)班,,19655698169,陈倩@example.com,家长: 韩桂芳
学生,S0015,杨海涛,C01,高一,高一(1)班,,13883561595,杨海涛@example.com,家长: 龙明
学生,S0016,易桂兰,C01,高一,高一(1)班,,19465648236,易桂兰@example.com,家长: 万桂珍
学生,S0017,段涛,C01,高一,高一(1)班,,19946804436,段涛@example.com,家长: 康秀珍
学生,S0018,姜秀珍,C01,高一,高一(1)班,,18387214895,姜秀珍@example.com,家长: 孙鑫
学生,S0019,段玉珍,C01,高一,高一(1)班,,15320037917,段玉珍@example.com,家长: 戴建
学生,S0020,黎玉芳,C01,高一,高一(1)班,,18632016328,黎玉芳@example.com,家长: 姜丽
学生,S0022,夏志刚,C01,高一,高一(1)班,,15774348734,夏志刚@example.com,家长: 汪洋
学生,S0023,黎晓峰,C01,高一,高一(1)班,,15455812236,黎晓峰@example.com,家长: 钱平
学生,S0024,尹玉兰,C01,高一,高一(1)班,,13665876036,尹玉兰@example.com,家长: 阎娜
学生,S0025,赖桂珍,C01,高一,高一(1)班,,18054668893,赖桂珍@example.com,家长: 石飞
学生,S0026,许海涛,C01,高一,高一(1)班,,18065627298,许海涛@example.com,家长: 刘海燕
学生,S0027,毛秀英,C01,高一,高一(1)班,,13627204653,毛秀英@example.com,家长: 任秀珍
学生,S0028,蔡桂珍,C01,高一,高一(1)班,,17641708053,蔡桂珍@example.com,家长: 孟磊
学生,S0029,文静,C01,高一,高一(1)班,,13330923271,文静@example.com,家长: 白玉兰
学生,S0030,姜桂芳,C01,高一,高一(1)班,,17299124190,姜桂芳@example.com,家长: 吕桂珍
学生,S0031,余文,C01,高一,高一(1)班,,13931491905,余文@example.com,家长: 金玉珍
学生,S0032,龙志文,C01,高一,高一(1)班,,13850671657,龙志文@example.com,家长: 尹平
学生,S0033,郑志明,C02,高一,高一(2)班,,19877694531,郑志明@example.com,家长: 傅志刚
学生,S0034,曹玉英,C02,高一,高一(2)班,,19965075273,曹玉英@example.com,家长: 丁丽华
学生,S0035,蔡海燕,C02,高一,高一(2)班,,19480831367,蔡海燕@example.com,家长: 孔鑫
学生,S0036,钱海霞,C02,高一,高一(2)班,,18701436349,钱海霞@example.com,家长: 薛海霞
学生,S0037,郝玉英,C02,高一,高一(2)班,,18855744431,郝玉英@example.com,家长: 易建
学生,S0038,苏明,C02,高一,高一(2)班,,19233749894,苏明@example.com,家长: 胡建
学生,S0039,曾玉梅,C02,高一,高一(2)班,,17240824008,曾玉梅@example.com,家长: 曾超
学生,S0040,侯志文,C02,高一,高一(2)班,,13094777520,侯志文@example.com,家长: 袁秀芳
学生,S0041,高磊,C02,高一,高一(2)班,,18719022941,高磊@example.com,家长: 曹明
学生,S0042,孔桂兰,C02,高一,高一(2)班,,19993867749,孔桂兰@example.com,家长: 夏玉珍
学生,S0043,白强,C02,高一,高一(2)班,,19133412328,白强@example.com,家长: 吴刚
学生,S0044,张志强,C02,高一,高一(2)班,,18974034471,张志强@example.com,家长: 雷玉梅
学生,S0045,邓文,C02,高一,高一(2)班,,18183242102,邓文@example.com,家长: 吕晓峰
学生,S0046,汪明,C02,高一,高一(2)班,,18464887719,汪明@example.com,家长: 杨海涛
学生,S0047,武秀珍,C08,高二,高二(3)班,,19401399049,武秀珍@example.com,家长: 杨涛
学生,S0048,范秀珍,C02,高一,高一(2)班,,17296717565,范秀珍@example.com,家长: 卢倩
学生,S0049,梁志刚,C02,高一,高一(2)班,,18746807154,梁志刚@example.com,家长: 卢涛
学生,S0050,龚秀英,C02,高一,高一(2)班,,19087603859,龚秀英@example.com,家长: 贺桂珍
学生,S0051,顾秀珍,C02,高一,高一(2)班,,13348247710,顾秀珍@example.com,家长: 顾鑫
学生,S0053,姚淑珍,C02,高一,高一(2)班,,19467737826,姚淑珍@example.com,家长: 韩秀兰
学生,S0054,周海燕,C02,高一,高一(2)班,,18584044997,周海燕@example.com,家长: 罗志刚
学生,S0055,金秀芳,C02,高一,高一(2)班,,17588675339,金秀芳@example.com,家长: 阎玉梅
学生,S0056,文志强,C02,高一,高一(2)班,,13576627028,文志强@example.com,家长: 毛志刚
学生,S0057,胡秀珍,C02,高一,高一(2)班,,13870262174,胡秀珍@example.com,家长: 蔡海燕
学生,S0058,孟勇,C02,高一,高一(2)班,,17865780913,孟勇@example.com,家长: 顾晓峰
学生,S0059,萧艳,C02,高一,高一(2)班,,18117240050,萧艳@example.com,家长: 曾海霞
学生,S0060,薛海涛,C02,高一,高一(2)班,,15386922219,薛海涛@example.com,家长: 叶鑫
学生,S0061,姚霞,C02,高一,高一(2)班,,15747407482,姚霞@example.com,家长: 吴秀珍
学生,S0062,贾桂兰,C02,高一,高一(2)班,,18474367136,贾桂兰@example.com,家长: 崔海霞
学生,S0063,崔淑珍,C02,高一,高一(2)班,,17064090974,崔淑珍@example.com,家长: 文玉梅
学生,S0064,丁飞,C03,高一,高一(3)班,,15942104709,丁飞@example.com,家长: 魏超
学生,S0065,孙淑珍,C03,高一,高一(3)班,,17623285884,孙淑珍@example.com,家长: 宋桂芳
学生,S0066,方淑珍,C03,高一,高一(3)班,,17171236851,方淑珍@example.com,家长: 余芳
学生,S0067,邓明,C03,高一,高一(3)班,,18549651370,邓明@example.com,家长: 史秀珍
学生,S0068,江飞,C03,高一,高一(3)班,,13746120047,江飞@example.com,家长: 高杰
学生,S0070,傅敏,C03,高一,高一(3)班,,17377351585,傅敏@example.com,家长: 黄海燕
学生,S0071,傅建,C03,高一,高一(3)班,,13713900532,傅建@example.com,家长: 白华
学生,S0072,周华,C03,高一,高一(3)班,,19335290422,周华@example.com,家长: 陆桂芳
学生,S0073,郑涛,C03,高一,高一(3)班,,13205395024,郑涛@example.com,家长: 赵超
学生,S0074,武桂兰,C03,高一,高一(3)班,,19117758917,武桂兰@example.com,家长: 谭飞
学生,S0075,江静,C03,高一,高一(3)班,,19470076617,江静@example.com,家长: 黎秀珍
学生,S0076,吴勇,C03,高一,高一(3)班,,17921249985,吴勇@example.com,家长: 叶淑珍
学生,S0077,任玉芳,C03,高一,高一(3)班,,19611836736,任玉芳@example.com,家长: 蔡桂香
学生,S0078,潘桂兰,C03,高一,高一(3)班,,13565452711,潘桂兰@example.com,家长: 徐艳
学生,S0079,钟杰,C03,高一,高一(3)班,,17280988516,钟杰@example.com,家长: 丁玉珍
学生,S0080,易丽,C03,高一,高一(3)班,,17945198327,易丽@example.com,家长: 董倩
学生,S0081,贾志文,C03,高一,高一(3)班,,13493689980,贾志文@example.com,家长: 秦志明
学生,S0082,刘慧,C03,高一,高一(3)班,,17455022961,刘慧@example.com,家长: 马秀英
学生,S0083,孙玉兰,C03,高一,高一(3)班,,18675254599,孙玉兰@example.com,家长: 徐丽
学生,S0084,罗刚,C03,高一,高一(3)班,,19014767976,罗刚@example.com,家长: 许玉兰
学生,S0085,贺涛,C03,高一,高一(3)班,,17614978403,贺涛@example.com,家长: 余强
学生,S0086,张华,C03,高一,高一(3)班,,17324451076,张华@example.com,家长: 郑超
学生,S0087,叶玉梅,C03,高一,高一(3)班,,19851606071,叶玉梅@example.com,家长: 苏玉珍
学生,S0088,崔秀英,C03,高一,高一(3)班,,18416052975,崔秀英@example.com,家长: 孙海涛
学生,S0089,朱志强,C03,高一,高一(3)班,,18968164535,朱志强@example.com,家长: 文桂英
学生,S0090,吴涛,C03,高一,高一(3)班,,19835523124,吴涛@example.com,家长: 唐涛
学生,S0091,秦平,C03,高一,高一(3)班,,13277997995,秦平@example.com,家长: 顾海涛
学生,S0092,罗秀珍,C03,高一,高一(3)班,,13774490581,罗秀珍@example.com,家长: 吕玉英
学生,S0093,田敏,C03,高一,高一(3)班,,13541199867,田敏@example.com,家长: 康静
学生,S0094,田建,C03,高一,高一(3)班,,17978207151,田建@example.com,家长: 谭涛
学生,S0095,杨志强,C06,高二,高二(1)班,,18788925546,杨志强@example.com,家长: 杜桂香
学生,S0096,段丽,C03,高一,高一(3)班,,17151864492,段丽@example.com,家长: 蒋勇
学生,S0097,康霞,C03,高一,高一(3)班,,17462914865,康霞@example.com,家长: 何艳
学生,S0098,万玉珍,C04,高一,高一(4)班,,19505423573,万玉珍@example.com,家长: 董秀兰
学生,S0099,罗洋,C04,高一,高一(4)班,,17188805929,罗洋@example.com,家长: 叶平
学生,S0100,梁慧,C04,高一,高一(4)班,,19270653794,梁慧@example.com,家长: 贺志刚
学生,S0101,萧鑫,C04,高一,高一(4)班,,17735977468,萧鑫@example.com,家长: 熊桂兰
学生,S0102,梁文,C04,高一,高一(4)班,,19240758181,梁文@example.com,家长: 沈勇
学生,S0103,赖刚,C04,高一,高一(4)班,,17782613750,赖刚@example.com,家长: 戴丽
学生,S0104,余玉芳,C04,高一,高一(4)班,,17361530515,余玉芳@example.com,家长: 马秀兰
学生,S0105,陈晓峰,C04,高一,高一(4)班,,18277901043,陈晓峰@example.com,家长: 罗玉珍
学生,S0106,高晓峰,C04,高一,高一(4)班,,15410369711,高晓峰@example.com,家长: 姚娜
学生,S0107,顾鑫,C04,高一,高一(4)班,,15460953962,顾鑫@example.com,家长: 万勇
学生,S0108,熊秀芳,C04,高一,高一(4)班,,13888880670,熊秀芳@example.com,家长: 侯玉芳
学生,S0109,薛桂芳,C04,高一,高一(4)班,,13515319520,薛桂芳@example.com,家长: 丁桂香
学生,S0110,邵涛,C04,高一,高一(4)班,,18722170430,邵涛@example.com,家长: 唐静
学生,S0111,苏玉珍,C04,高一,高一(4)班,,19687403450,苏玉珍@example.com,家长: 孟志刚
学生,S0112,许明,C04,高一,高一(4)班,,17667652775,许明@example.com,家长: 邹志明
学生,S0113,徐玉珍,C04,高一,高一(4)班,,13692845115,徐玉珍@example.com,家长: 龙淑珍
学生,S0114,吕志刚,C04,高一,高一(4)班,,19627570596,吕志刚@example.com,家长: 傅强
学生,S0115,吴秀英,C04,高一,高一(4)班,,17820297021,吴秀英@example.com,家长: 程秀芳
学生,S0116,魏玉芳,C04,高一,高一(4)班,,19092755719,魏玉芳@example.com,家长: 郭秀芳
学生,S0117,余海涛,C04,高一,高一(4)班,,17310278681,余海涛@example.com,家长: 邓丽华
学生,S0118,尹志刚,C04,高一,高一(4)班,,15947312172,尹志刚@example.com,家长: 黎秀珍
学生,S0119,孙海涛,C04,高一,高一(4)班,,17188442258,孙海涛@example.com,家长: 董明
学生,S0120,唐秀兰,C04,高一,高一(4)班,,15705895782,唐秀兰@example.com,家长: 江艳
学生,S0121,周玉珍,C04,高一,高一(4)班,,18786691251,周玉珍@example.com,家长: 田玉英
学生,S0122,雷玉英,C04,高一,高一(4)班,,15892268018,雷玉英@example.com,家长: 罗桂兰
学生,S0123,宋刚,C04,高一,高一(4)班,,17358414384,宋刚@example.com,家长: 何桂兰
学生,S0124,江艳,C04,高一,高一(4)班,,19299229959,江艳@example.com,家长: 杨秀英
学生,S0125,徐静,C04,高一,高一(4)班,,19439690784,徐静@example.com,家长: 邵桂兰
学生,S0126,方志强,C04,高一,高一(4)班,,18471027677,方志强@example.com,家长: 冯桂香
学生,S0127,秦霞,C04,高一,高一(4)班,,17556258815,秦霞@example.com,家长: 程玉英
学生,S0128,林志明,C04,高一,高一(4)班,,18321046963,林志明@example.com,家长: 梁秀珍
学生,S0129,崔海涛,C04,高一,高一(4)班,,15278774701,崔海涛@example.com,家长: 余玉芳
学生,S0130,任鑫,C04,高一,高一(4)班,,15950047974,任鑫@example.com,家长: 金芳
学生,S0131,朱海涛,C04,高一,高一(4)班,,15456506098,朱海涛@example.com,家长: 韩秀芳
学生,S0132,郝晓峰,C04,高一,高一(4)班,,13687849912,郝晓峰@example.com,家长: 胡海燕
学生,S0133,蔡秀芳,C05,高一,高一(5)班,,15398680002,蔡秀芳@example.com,家长: 黎志刚
学生,S0134,范桂香,C05,高一,高一(5)班,,15982595269,范桂香@example.com,家长: 武桂兰
学生,S0135,毛桂香,C05,高一,高一(5)班,,19887947055,毛桂香@example.com,家长: 段涛
学生,S0136,戴玉珍,C05,高一,高一(5)班,,13974993097,戴玉珍@example.com,家长: 宋桂珍
学生,S0137,马志强,C05,高一,高一(5)班,,13913075626,马志强@example.com,家长: 钱华
学生,S0138,杜玉芳,C05,高一,高一(5)班,,19702838578,杜玉芳@example.com,家长: 叶海涛
学生,S0139,郑桂香,C05,高一,高一(5)班,,19585497334,郑桂香@example.com,家长: 孔桂兰
学生,S0140,董桂兰,C05,高一,高一(5)班,,17375758441,董桂兰@example.com,家长: 崔桂珍
学生,S0141,余玉英,C05,高一,高一(5)班,,15404157473,余玉英@example.com,家长: 唐志明
学生,S0142,孔志明,C05,高一,高一(5)班,,15199330833,孔志明@example.com,家长: 赵杰
学生,S0143,杜志刚,C05,高一,高一(5)班,,18120826773,杜志刚@example.com,家长: 贺晓峰
学生,S0144,卢晓峰,C05,高一,高一(5)班,,13193802620,卢晓峰@example.com,家长: 余桂珍
学生,S0145,谢淑珍,C05,高一,高一(5)班,,13049915478,谢淑珍@example.com,家长: 熊桂珍
学生,S0146,郭玉芳,C05,高一,高一(5)班,,18431527420,郭玉芳@example.com,家长: 武桂香
学生,S0147,曾建,C05,高一,高一(5)班,,15966851612,曾建@example.com,家长: 郭秀芳
学生,S0148,卢志强,C05,高一,高一(5)班,,13463745499,卢志强@example.com,家长: 王丽华
学生,S0149,孟秀芳,C05,高一,高一(5)班,,15017426841,孟秀芳@example.com,家长: 侯淑珍
学生,S0150,薛飞,C05,高一,高一(5)班,,15272795687,薛飞@example.com,家长: 贺玉兰
学生,S0151,赖志强,C05,高一,高一(5)班,,19187851910,赖志强@example.com,家长: 郝玉芳
学生,S0152,唐平,C05,高一,高一(5)班,,15587139718,唐平@example.com,家长: 田强
学生,S0153,任超,C05,高一,高一(5)班,,19679087406,任超@example.com,家长: 袁伟
学生,S0154,乔玉兰,C05,高一,高一(5)班,,19106518017,乔玉兰@example.com,家长: 陈晓峰
学生,S0155,杜慧,C05,高一,高一(5)班,,15656766182,杜慧@example.com,家长: 孟玉英
学生,S0156,林涛,C05,高一,高一(5)班,,19682300478,林涛@example.com,家长: 夏桂珍
学生,S0157,萧志强,C05,高一,高一(5)班,,18524310690,萧志强@example.com,家长: 程华
学生,S0158,周杰,C05,高一,高一(5)班,,19079030673,周杰@example.com,家长: 陆玉兰
学生,S0159,贺强,C05,高一,高一(5)班,,15843959953,贺强@example.com,家长: 彭霞
学生,S0160,龙飞,C05,高一,高一(5)班,,18440892687,龙飞@example.com,家长: 赵玉英
学生,S0161,邵桂珍,C05,高一,高一(5)班,,19566246287,邵桂珍@example.com,家长: 程飞
学生,S0162,彭霞,C05,高一,高一(5)班,,18086688263,彭霞@example.com,家长: 袁华
学生,S0163,邵勇,C06,高二,高二(1)班,,18518304699,邵勇@example.com,家长: 杨洋
学生,S0164,韩玉兰,C06,高二,高二(1)班,,18354033173,韩玉兰@example.com,家长: 汤华
学生,S0165,余鑫,C06,高二,高二(1)班,,19546785445,余鑫@example.com,家长: 廖桂珍
学生,S0166,姜杰,C06,高二,高二(1)班,,18535560932,姜杰@example.com,家长: 李丽华
学生,S0167,郝桂兰,C06,高二,高二(1)班,,17235369378,郝桂兰@example.com,家长: 孟桂香
学生,S0168,袁志文,C06,高二,高二(1)班,,18725228728,袁志文@example.com,家长: 邵强
学生,S0169,熊敏,C06,高二,高二(1)班,,13006231203,熊敏@example.com,家长: 谭桂香
学生,S0170,薛强,C06,高二,高二(1)班,,19977008860,薛强@example.com,家长: 李海燕
学生,S0171,金晓峰,C06,高二,高二(1)班,,13862118233,金晓峰@example.com,家长: 史桂芳
学生,S0172,丁志明,C06,高二,高二(1)班,,18156793341,丁志明@example.com,家长: 孟敏
学生,S0173,孙秀英,C06,高二,高二(1)班,,18687002176,孙秀英@example.com,家长: 邵志刚
学生,S0174,白杰,C06,高二,高二(1)班,,19033974014,白杰@example.com,家长: 陆敏
学生,S0175,郑海涛,C06,高二,高二(1)班,,13392614293,郑海涛@example.com,家长: 白玉芳
学生,S0176,段志刚,C06,高二,高二(1)班,,18218501631,段志刚@example.com,家长: 蔡海燕
学生,S0177,文秀珍,C06,高二,高二(1)班,,13477358662,文秀珍@example.com,家长: 雷桂珍
学生,S0178,徐淑珍,C06,高二,高二(1)班,,15114262655,徐淑珍@example.com,家长: 朱艳
学生,S0179,张玉珍,C06,高二,高二(1)班,,18541212678,张玉珍@example.com,家长: 孔志强
学生,S0180,朱秀英,C06,高二,高二(1)班,,13581995604,朱秀英@example.com,家长: 杜玉芳
学生,S0181,文勇,C06,高二,高二(1)班,,19398262244,文勇@example.com,家长: 许桂珍
学生,S0182,马磊,C06,高二,高二(1)班,,15646471543,马磊@example.com,家长: 易桂珍
学生,S0183,邱文,C06,高二,高二(1)班,,18124065965,邱文@example.com,家长: 汪志刚
学生,S0184,钟秀兰,C06,高二,高二(1)班,,17593752654,钟秀兰@example.com,家长: 武志文
学生,S0185,崔志强,C06,高二,高二(1)班,,17646519398,崔志强@example.com,家长: 谢秀英
学生,S0186,常玉英,C06,高二,高二(1)班,,15741672434,常玉英@example.com,家长: 龙平
学生,S0187,黎玉珍,C06,高二,高二(1)班,,18179796886,黎玉珍@example.com,家长: 陆敏
学生,S0188,魏勇,C06,高二,高二(1)班,,13352909656,魏勇@example.com,家长: 朱芳
学生,S0189,胡丽华,C06,高二,高二(1)班,,15888993756,胡丽华@example.com,家长: 姜玉芳
学生,S0190,罗玉英,C06,高二,高二(1)班,,13714611254,罗玉英@example.com,家长: 蔡桂香
学生,S0191,冯秀芳,C06,高二,高二(1)班,,17717751401,冯秀芳@example.com,家长: 李桂香
学生,S0192,邵倩,C06,高二,高二(1)班,,15382825867,邵倩@example.com,家长: 萧秀英
学生,S0193,谢慧,C07,高二,高二(2)班,,18609379660,谢慧@example.com,家长: 尹玉兰
学生,S0194,冯海燕,C07,高二,高二(2)班,,13918255371,冯海燕@example.com,家长: 邓志文
学生,S0195,熊海涛,C07,高二,高二(2)班,,19696915579,熊海涛@example.com,家长: 郑桂兰
学生,S0196,江勇,C07,高二,高二(2)班,,15513412528,江勇@example.com,家长: 阎桂兰
学生,S0197,邱秀兰,C07,高二,高二(2)班,,19662782827,邱秀兰@example.com,家长: 沈秀兰
学生,S0198,谢海涛,C07,高二,高二(2)班,,18905072368,谢海涛@example.com,家长: 谭桂珍
学生,S0199,杜志文,C07,高二,高二(2)班,,18772190340,杜志文@example.com,家长: 傅飞
学生,S0200,金晓峰,C07,高二,高二(2)班,,15797881914,金晓峰@example.com,家长: 文秀芳
学生,S0201,陆静,C07,高二,高二(2)班,,18836134074,陆静@example.com,家长: 贾艳
学生,S0202,汪明,C07,高二,高二(2)班,,15395962923,汪明@example.com,家长: 冯强
学生,S0203,白玉英,C07,高二,高二(2)班,,19498254494,白玉英@example.com,家长: 廖杰
学生,S0204,郭志强,C07,高二,高二(2)班,,13422325367,郭志强@example.com,家长: 马志明
学生,S0205,顾桂兰,C07,高二,高二(2)班,,18711684577,顾桂兰@example.com,家长: 卢伟
学生,S0206,文艳,C07,高二,高二(2)班,,18518636374,文艳@example.com,家长: 卢晓峰
学生,S0207,蔡超,C07,高二,高二(2)班,,19750017012,蔡超@example.com,家长: 汪桂香
学生,S0208,张玉珍,C07,高二,高二(2)班,,15242415415,张玉珍@example.com,家长: 万桂英
学生,S0209,赵海燕,C07,高二,高二(2)班,,17361103712,赵海燕@example.com,家长: 毛飞
学生,S0210,邹秀珍,C07,高二,高二(2)班,,13051627136,邹秀珍@example.com,家长: 孙倩
学生,S0211,朱海涛,C07,高二,高二(2)班,,17426221890,朱海涛@example.com,家长: 江桂英
学生,S0212,汪玉英,C07,高二,高二(2)班,,15269731121,汪玉英@example.com,家长: 毛玉芳
学生,S0213,贾玉珍,C07,高二,高二(2)班,,17234138999,贾玉珍@example.com,家长: 沈秀英
学生,S0214,龙桂兰,C07,高二,高二(2)班,,15898364037,龙桂兰@example.com,家长: 阎涛
学生,S0215,程桂珍,C07,高二,高二(2)班,,19180552696,程桂珍@example.com,家长: 魏涛
学生,S0216,赖海霞,C07,高二,高二(2)班,,13091043006,赖海霞@example.com,家长: 谭晓峰
学生,S0217,顾玉芳,C07,高二,高二(2)班,,18661889241,顾玉芳@example.com,家长: 吕勇
学生,S0218,廖华,C07,高二,高二(2)班,,15856914630,廖华@example.com,家长: 曹艳
学生,S0219,钟涛,C07,高二,高二(2)班,,18990421020,钟涛@example.com,家长: 梁桂珍
学生,S0220,贾丽华,C07,高二,高二(2)班,,15524105648,贾丽华@example.com,家长: 周丽华
学生,S0221,黎洋,C07,高二,高二(2)班,,18785079252,黎洋@example.com,家长: 袁倩
学生,S0222,崔涛,C07,高二,高二(2)班,,15800030756,崔涛@example.com,家长: 罗涛
学生,S0223,陈桂兰,C07,高二,高二(2)班,,15536541951,陈桂兰@example.com,家长: 谭丽
学生,S0224,郑飞,C07,高二,高二(2)班,,19061744518,郑飞@example.com,家长: 任芳
学生,S0225,薛文,C07,高二,高二(2)班,,17949375973,薛文@example.com,家长: 常志强
学生,S0226,罗伟,C07,高二,高二(2)班,,18038505064,罗伟@example.com,家长: 朱华
学生,S0227,熊鑫,C07,高二,高二(2)班,,18702410386,熊鑫@example.com,家长: 汤志文
学生,S0228,乔勇,C08,高二,高二(3)班,,19182619906,乔勇@example.com,家长: 龙超
学生,S0229,程淑珍,C08,高二,高二(3)班,,17565574313,程淑珍@example.com,家长: 郭倩
学生,S0230,罗倩,C08,高二,高二(3)班,,15775618537,罗倩@example.com,家长: 吕玉英
学生,S0231,邓明,C08,高二,高二(3)班,,13249035213,邓明@example.com,家长: 丁海燕
学生,S0232,廖丽,C08,高二,高二(3)班,,17420678831,廖丽@example.com,家长: 姜倩
学生,S0233,郭明,C08,高二,高二(3)班,,13032365199,郭明@example.com,家长: 邓洋
学生,S0234,李磊,C08,高二,高二(3)班,,15721510702,李磊@example.com,家长: 崔海涛
学生,S0235,易海燕,C08,高二,高二(3)班,,18066253244,易海燕@example.com,家长: 田平
学生,S0236,陈志强,C08,高二,高二(3)班,,17768701462,陈志强@example.com,家长: 戴文
学生,S0237,邵志强,C08,高二,高二(3)班,,19065787598,邵志强@example.com,家长: 卢玉芳
学生,S0238,许慧,C08,高二,高二(3)班,,13593040785,许慧@example.com,家长: 龚玉梅
学生,S0239,梁杰,C08,高二,高二(3)班,,15348039652,梁杰@example.com,家长: 郑鑫
学生,S0240,毛海涛,C08,高二,高二(3)班,,17905992937,毛海涛@example.com,家长: 陆玉珍
学生,S0241,郑志文,C08,高二,高二(3)班,,13103930870,郑志文@example.com,家长: 蒋文
学生,S0242,何桂香,C08,高二,高二(3)班,,15500292185,何桂香@example.com,家长: 吴志文
学生,S0243,尹海燕,C08,高二,高二(3)班,,19154522675,尹海燕@example.com,家长: 郑海霞
学生,S0244,董涛,C08,高二,高二(3)班,,18442209690,董涛@example.com,家长: 谢海涛
学生,S0245,江飞,C08,高二,高二(3)班,,19172513552,江飞@example.com,家长: 侯艳
学生,S0246,尹志刚,C08,高二,高二(3)班,,18043315410,尹志刚@example.com,家长: 赵玉芳
学生,S0247,汪桂兰,C08,高二,高二(3)班,,15676586179,汪桂兰@example.com,家长: 孟飞
学生,S0248,梁志刚,C08,高二,高二(3)班,,13040541152,梁志刚@example.com,家长: 叶刚
学生,S0249,常洋,C08,高二,高二(3)班,,19159970629,常洋@example.com,家长: 钟刚
学生,S0250,赵杰,C08,高二,高二(3)班,,17336884443,赵杰@example.com,家长: 胡丽
学生,S0251,余志文,C08,高二,高二(3)班,,15050614973,余志文@example.com,家长: 胡秀英
学生,S0252,冯桂英,C08,高二,高二(3)班,,17171467741,冯桂英@example.com,家长: 邵玉芳
学生,S0253,谢志文,C08,高二,高二(3)班,,18527047743,谢志文@example.com,家长: 许强
学生,S0254,罗杰,C08,高二,高二(3)班,,13586938068,罗杰@example.com,家长: 戴海霞
学生,S0255,崔鑫,C08,高二,高二(3)班,,18416089899,崔鑫@example.com,家长: 马明
学生,S0256,贺志刚,C08,高二,高二(3)班,,15233206163,贺志刚@example.com,家长: 顾霞
