类别,姓名,编号,班级,电话,邮箱
学生,姓名差异学生,S027,高二3班,13830010027,s027@authority.example.test
学生,电话差异学生,S028,高二3班,13830010028,s028@authority.example.test
学生,邮箱差异学生,S029,高二3班,13830010029,s029@authority.example.test
学生,班级差异学生,S030,高二4班,13830010030,s030@authority.example.test
学生,多字段差异学生,S031,高二4班,13830010031,s031@authority.example.test
学生,电话邮箱差异学生,S032,高二4班,13830010032,s032@authority.example.test
学生,目标缺班级学生,S033,高二5班,13830010033,s033@authority.example.test
学生,类别差异学生,S034,高二5班,13830010034,s034@authority.example.test
教师,姓名差异教师,T024,,13820010024,t024@authority.example.test
教师,电话差异教师,T025,,13820010025,t025@authority.example.test
教师,邮箱差异教师,T026,,13820010026,t026@authority.example.test
教师,多字段差异教师,T027,,13820010027,t027@authority.example.test
教师,类别差异教师,T028,,13820010028,t028@authority.example.test
部门,名称差异部门,D012,,13810010012,dept012@authority.example.test
部门,联系方式差异部门,D013,,13810010013,dept013@authority.example.test
学生,希沃重复学生,S035,高三1班,13830010035,s035@authority.example.test
学生,权威重复学生A,S036,高三1班,13830010036,s036a@authority.example.test
学生,权威重复学生B,S036,高三2班,13830010037,s036b@authority.example.test
学生,身份冲突学生,S037,高三3班,13830010038,s037@authority.example.test
教师,身份冲突教师,T029,,13820010029,t029@authority.example.test
学生,权威缺邮箱学生,S038,高三4班,13830010039,
学生,权威缺班级学生,S039,,13830010040,s039@authority.example.test
教师,权威缺电话教师,T030,,,t030@authority.example.test
学生,正常补充学生040,S040,高三4班,13830010040,s040@authority.example.test
学生,正常补充学生041,S041,高三4班,13830010041,s041@authority.example.test
学生,正常补充学生042,S042,高三4班,13830010042,s042@authority.example.test
学生,正常补充学生043,S043,高三5班,13830010043,s043@authority.example.test
学生,正常补充学生044,S044,高三5班,13830010044,s044@authority.example.test
学生,正常补充学生045,S045,高三5班,13830010045,s045@authority.example.test
教师,正常补充教师031,T031,,13820010031,t031@authority.example.test
教师,正常补充教师032,T032,,13820010032,t032@authority.example.test
教师,正常补充教师033,T033,,13820010033,t033@authority.example.test
教师,正常补充教师034,T034,,13820010034,t034@authority.example.test
教师,正常补充教师035,T035,,13820010035,t035@authority.example.test
教师,正常补充教师036,T036,,13820010036,t036@authority.example.test
部门,正常补充部门014,D014,,13810010014,dept014@authority.example.test
部门,正常补充部门015,D015,,13810010015,dept015@authority.example.test
部门,正常补充部门016,D016,,13810010016,dept016@authority.example.test
部门,正常补充部门017,D017,,13810010017,dept017@authority.example.test
部门,正常补充部门018,D018,,13810010018,dept018@authority.example.test
