类别,姓名,编号,班级,电话,邮箱
教师,电话差异教师,T025,,13920010025,t025@authority.example.test
教师,邮箱差异教师,T026,,13820010026,t026@seewo.example.test
教师,希沃多字段错教师,T027,,13920010027,t027@seewo.example.test
学生,类别差异教师,T028,高三9班,13820010028,t028@authority.example.test
部门,希沃旧名称部门,D012,,13810010012,dept012@authority.example.test
部门,联系方式差异部门,D013,,13910010013,dept013@seewo.example.test
学生,希沃重复学生,S035,高三1班,13830010035,s035@authority.example.test
学生,希沃重复学生副本,S035,高三8班,13930010035,s035-dup@seewo.example.test
学生,权威重复学生目标,S036,高三1班,13830010036,s036-target@seewo.example.test
学生,身份冲突候选手机,S137,高三3班,13830010038,s137@seewo.example.test
学生,身份冲突候选邮箱,S237,高三7班,13930010237,s037@authority.example.test
教师,身份冲突候选手机,T129,,13820010029,t129@seewo.example.test
教师,身份冲突候选邮箱,T229,,13920010229,t029@authority.example.test
学生,仅希沃学生901,S901,高一9班,13839010901,s901@seewo.example.test
学生,仅希沃学生902,S902,高一9班,13839010902,s902@seewo.example.test
学生,仅希沃学生903,S903,高一9班,13839010903,s903@seewo.example.test
学生,仅希沃学生904,S904,高二9班,13839010904,s904@seewo.example.test
学生,仅希沃学生905,S905,高二9班,13839010905,s905@seewo.example.test
学生,仅希沃学生906,S906,高二9班,13839010906,s906@seewo.example.test
教师,仅希沃教师901,T901,,13829010901,t901@seewo.example.test
教师,仅希沃教师902,T902,,13829010902,t902@seewo.example.test
教师,仅希沃教师903,T903,,13829010903,t903@seewo.example.test
部门,仅希沃部门,D901,,13819010901,dept901@seewo.example.test
学生,目标无身份学生,,高三9班,,
学生,正常补充学生040,S040,高三4班,13830010040,s040@authority.example.test
学生,正常补充学生041,S041,高三4班,13830010041,s041@authority.example.test
学生,正常补充学生042,S042,高三4班,13830010042,s042@authority.example.test
学生,正常补充学生043,S043,高三5班,13830010043,s043@authority.example.test
学生,正常补充学生044,S044,高三5班,13830010044,s044@authority.example.test
学生,正常补充学生045,S045,高三5班,13830010045,s045@authority.example.test
教师,正常补充教师031,T031,,13820010031,t031@authority.example.test
教师,正常补充教师032,T032,,13820010032,t032@authority.example.test
教师,正常补充教师033,T033,,13820010033,t033@authority.example.test
教师,正常补充教师034,T034,,13820010034,t034@authority.example.test
教师,正常补充教师035,T035,,13820010035,t035@authority.example.test
教师,正常补充教师036,T036,,13820010036,t036@authority.example.test
部门,正常补充部门014,D014,,13810010014,dept014@authority.example.test
部门,正常补充部门015,D015,,13810010015,dept015@authority.example.test
部门,正常补充部门016,D016,,13810010016,dept016@authority.example.test
部门,正常补充部门017,D017,,13810010017,dept017@authority.example.test
部门,正常补充部门018,D018,,13810010018,dept018@authority.example.test
