类别,姓名,编号,班级,电话,邮箱,id,parent_id,member_id,container_id
学生,赵若寒,S202664,七年级四班,13733010064,student064@authority.example.test,csv:93,,,
学生,许景明,S202665,八年级一班,13733010065,student065@authority.example.test,csv:94,,,
学生,何念慈,S202666,八年级二班,13733010066,student066@authority.example.test,csv:95,,,
学生,唐星语,S202667,八年级三班,13733010067,student067@authority.example.test,csv:96,,,
学生,宋清辞,S202668,八年级四班,13733010068,student068@authority.example.test,csv:97,,,
学生,梁以沫,S202669,九年级一班,13733010069,student069@authority.example.test,csv:98,,,
学生,罗嘉树,S202670,九年级二班,13733010070,student070@authority.example.test,csv:99,,,
学生,邵明轩,S202634,七年级四班,13733010034,student034@authority.example.test,S202634,,,
学生,唐若溪,S202612,七年级二班,13733010012,student012@authority.example.test,S202612,,,
教师,沈清越,T1008,,13921010008,teacher008@authority.example.test,T1008,,,
学生,陈泽彬,S202671,,18357622217,binworldchampion@blg.com,S202671,,,
学生,赵嘉豪,S202672,,18357622218,elkworldchampion@blg.com,S202672,,,
